tenure_months,monthly_charges,total_charges,num_products,support_calls,payment_delays,contract_type,internet_service,online_security,tech_support,paperless_billing,gender,senior_citizen,partner,dependents,churn
3,60.43,5202.83,3,6,2,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,Yes,Yes,1
51,73.09,1939.75,3,9,4,Month-to-month,Fiber optic,Yes,No,No,Female,0,No,No,1
7,79.51,1338.41,4,0,3,Two year,Fiber optic,No,Yes,No,Male,0,Yes,No,0
21,20.99,5499.09,3,6,1,Month-to-month,DSL,No,Yes,Yes,Female,0,No,No,0
39,66.41,4790.11,2,5,1,Two year,Fiber optic,No,No,No,Male,0,Yes,No,0
18,116.35,6063.14,3,7,2,Month-to-month,No,No,No,Yes,Male,0,No,No,1
4,71.9,2544.75,4,6,4,One year,DSL,No,No,No,Female,0,No,No,0
60,87.75,3638.98,1,3,0,Month-to-month,No,No,No,No,Male,0,No,No,0
14,51.19,3303.23,4,2,4,Month-to-month,Fiber optic,No,No,Yes,Female,1,Yes,No,0
9,97.4,7874.31,3,2,2,One year,DSL,No,No,Yes,Female,1,No,No,1
53,97.29,2408.77,1,3,2,Two year,Fiber optic,Yes,Yes,Yes,Female,0,Yes,Yes,0
2,72.13,2429.06,3,8,2,One year,Fiber optic,Yes,Yes,No,Female,0,Yes,Yes,1
60,117.6,2900.93,4,8,1,One year,Fiber optic,No,No,Yes,Female,0,Yes,No,1
71,32.56,4560.29,1,1,4,Two year,Fiber optic,No,No,No,Female,0,No,No,0
44,21.69,2093.35,1,4,4,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,Yes,No,1
8,97.02,7330.79,3,0,0,Month-to-month,DSL,Yes,No,No,Male,0,Yes,No,1
47,100.72,2198.92,3,3,2,Month-to-month,DSL,No,Yes,Yes,Male,1,No,No,0
35,32.02,7176.94,4,1,2,One year,DSL,No,No,Yes,Male,0,No,No,0
36,46.56,917.45,3,7,3,Two year,No,No,No,No,Male,0,No,No,0
50,21.76,5286.85,1,3,3,One year,DSL,No,No,Yes,Female,0,No,Yes,0
4,49.33,7265.19,2,4,1,Two year,No,Yes,No,Yes,Male,0,Yes,No,0
2,97.31,1433.12,2,3,4,One year,DSL,No,Yes,Yes,Female,0,Yes,No,0
6,71.8,7749.78,4,4,0,Month-to-month,DSL,Yes,Yes,Yes,Male,1,Yes,No,0
54,54.81,3677.78,3,4,0,Month-to-month,DSL,Yes,Yes,Yes,Male,1,Yes,No,0
4,57.17,7571.15,4,4,2,Two year,DSL,No,Yes,No,Female,1,Yes,No,1
54,20.14,5446.88,2,2,0,Month-to-month,No,Yes,No,No,Male,1,No,Yes,0
63,49.98,2482.54,2,6,2,Month-to-month,Fiber optic,No,Yes,Yes,Male,1,Yes,Yes,0
18,84.65,1587.59,3,2,4,Month-to-month,No,Yes,Yes,Yes,Male,1,No,No,1
44,117.42,2499.51,1,1,0,Month-to-month,No,No,Yes,Yes,Female,0,No,No,0
34,104.71,834.84,3,2,2,One year,Fiber optic,Yes,No,No,Male,0,Yes,No,0
62,22.36,1236.56,2,2,4,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,Yes,No,0
14,109.86,926.82,1,7,4,Two year,Fiber optic,No,No,Yes,Male,0,Yes,Yes,0
48,98.32,3441.25,4,3,2,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,No,No,1
15,98.04,6385.07,2,2,2,One year,DSL,No,No,Yes,Male,0,No,No,0
62,65.8,1216.93,4,9,1,One year,Fiber optic,No,Yes,No,Female,0,No,No,0
40,59.8,1129.53,1,4,4,One year,Fiber optic,Yes,Yes,Yes,Female,0,Yes,No,0
53,50.29,5183.09,4,3,2,Two year,DSL,No,Yes,Yes,Male,0,No,No,0
24,26.57,1657.75,2,8,4,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,No,No,1
26,42.82,871.12,3,7,0,Month-to-month,No,No,No,No,Male,0,No,No,1
60,44.66,1418.1,4,6,3,Month-to-month,Fiber optic,No,Yes,No,Female,0,No,Yes,1
41,68.41,7397.48,2,7,3,Two year,Fiber optic,Yes,No,Yes,Male,0,Yes,Yes,0
29,94.74,6589.62,2,4,2,Two year,DSL,Yes,No,Yes,Female,0,No,Yes,0
15,67.38,2897.11,1,3,2,Month-to-month,Fiber optic,Yes,Yes,No,Male,0,Yes,Yes,0
45,25.78,5280.98,2,6,4,One year,Fiber optic,No,Yes,Yes,Male,0,Yes,No,0
65,115.78,4344.48,3,0,2,Month-to-month,No,Yes,Yes,No,Female,0,Yes,No,0
71,114.27,5449.28,3,5,4,Month-to-month,No,Yes,Yes,Yes,Male,0,Yes,Yes,1
9,98.52,5493.1,4,7,2,One year,No,Yes,Yes,Yes,Male,0,No,Yes,1
1,119.13,5067.0,4,6,4,Month-to-month,DSL,No,No,No,Male,0,Yes,No,1
8,74.45,2202.2,4,1,2,Month-to-month,DSL,Yes,Yes,No,Female,0,Yes,Yes,0
63,116.28,408.15,4,6,1,One year,No,No,No,No,Female,0,No,Yes,0
11,27.56,3698.98,3,5,4,One year,No,Yes,No,No,Female,1,No,No,1
8,56.57,7138.69,1,4,1,Month-to-month,No,Yes,Yes,Yes,Female,0,No,Yes,1
35,42.54,4599.03,4,3,1,One year,Fiber optic,No,No,No,Male,0,No,No,0
35,39.58,6675.89,1,0,1,Month-to-month,Fiber optic,Yes,No,No,Male,1,Yes,Yes,0
33,34.08,7933.83,2,1,1,Month-to-month,DSL,No,No,Yes,Male,1,No,No,0
5,82.24,1392.57,2,6,0,One year,No,No,No,Yes,Female,0,No,No,1
41,98.13,5565.04,4,9,3,Month-to-month,Fiber optic,Yes,No,Yes,Male,0,Yes,Yes,0
28,77.83,5426.92,2,2,0,Month-to-month,DSL,No,Yes,Yes,Female,0,Yes,No,0
7,34.7,7841.65,1,4,2,Month-to-month,DSL,No,Yes,No,Male,0,No,Yes,1
12,101.11,7886.25,1,7,2,Two year,Fiber optic,No,Yes,Yes,Female,0,Yes,No,0
34,83.6,5524.76,2,7,3,Month-to-month,Fiber optic,No,No,Yes,Female,0,No,No,1
33,58.82,2024.56,4,5,3,Month-to-month,DSL,Yes,No,No,Male,0,No,Yes,0
48,87.41,6408.59,1,4,3,Month-to-month,DSL,No,Yes,Yes,Female,0,Yes,No,0
23,45.99,945.53,1,1,1,Month-to-month,DSL,No,No,Yes,Female,0,Yes,No,0
62,54.52,6267.52,3,8,0,One year,DSL,Yes,No,No,Male,1,Yes,No,0
37,111.75,7290.55,4,0,2,Month-to-month,No,Yes,No,Yes,Female,0,Yes,No,1
44,49.05,3124.38,3,1,0,Two year,Fiber optic,Yes,No,Yes,Female,1,No,No,0
35,67.0,5082.02,2,0,0,One year,Fiber optic,No,No,Yes,Male,0,No,No,0
65,109.01,3498.13,2,3,0,One year,Fiber optic,No,Yes,No,Female,0,Yes,No,1
47,90.77,3558.34,3,3,3,Month-to-month,Fiber optic,No,Yes,Yes,Female,0,No,No,1
3,26.22,2551.93,4,4,3,Month-to-month,Fiber optic,No,No,Yes,Female,0,Yes,No,1
1,34.73,6120.82,1,4,2,Month-to-month,No,Yes,Yes,Yes,Male,0,No,No,0
5,20.78,7495.79,2,7,2,Month-to-month,Fiber optic,Yes,Yes,No,Male,0,No,No,0
14,83.09,7531.93,4,2,2,Month-to-month,Fiber optic,No,No,Yes,Male,0,No,No,1
27,64.77,1480.77,4,5,0,One year,Fiber optic,No,Yes,No,Male,0,No,Yes,1
9,33.43,7010.47,2,2,3,Month-to-month,No,No,Yes,No,Female,0,No,Yes,1
15,115.79,5925.71,2,1,1,Month-to-month,DSL,No,No,Yes,Male,0,No,No,0
42,72.97,2097.42,4,7,0,Month-to-month,DSL,Yes,Yes,No,Male,0,Yes,No,0
51,44.19,631.55,1,0,4,Month-to-month,No,Yes,No,Yes,Male,0,Yes,No,0
63,70.06,2217.18,3,8,0,Two year,No,Yes,Yes,Yes,Male,0,Yes,No,0
52,87.96,7306.45,2,6,3,Month-to-month,Fiber optic,Yes,Yes,No,Female,0,No,No,1
4,27.62,5102.11,3,9,4,Two year,Fiber optic,No,Yes,Yes,Female,0,Yes,No,1
23,47.47,5796.33,4,3,0,One year,DSL,Yes,Yes,No,Male,0,No,Yes,0
15,100.7,2131.5,3,2,3,Two year,Fiber optic,No,No,No,Female,0,No,No,1
43,65.97,5783.17,1,5,3,Month-to-month,No,Yes,No,No,Male,0,No,No,0
29,74.66,322.16,4,8,1,Two year,DSL,Yes,Yes,Yes,Male,1,Yes,No,0
36,63.28,3065.04,1,8,0,Month-to-month,Fiber optic,No,No,No,Female,0,No,No,1
13,24.39,5051.35,4,3,3,One year,No,Yes,No,Yes,Female,0,No,No,0
32,36.57,1254.16,1,9,2,Month-to-month,DSL,Yes,Yes,Yes,Female,0,Yes,No,0
71,64.55,6601.73,4,4,3,Month-to-month,Fiber optic,Yes,Yes,Yes,Female,0,Yes,No,0
59,40.92,1956.75,1,8,1,One year,Fiber optic,Yes,No,Yes,Female,1,Yes,Yes,1
28,25.0,5253.02,4,1,3,One year,No,No,No,Yes,Female,0,No,Yes,0
66,104.36,3301.06,1,1,0,Month-to-month,No,Yes,No,No,Male,0,No,No,1
42,118.12,4808.74,4,4,0,Month-to-month,Fiber optic,Yes,No,No,Female,1,Yes,No,1
45,99.31,948.86,1,0,4,One year,No,Yes,Yes,No,Male,0,No,No,0
62,105.38,233.61,2,7,0,Month-to-month,No,No,No,Yes,Male,0,No,Yes,0
57,44.2,7285.56,3,4,4,Month-to-month,No,No,No,Yes,Male,0,No,No,0
6,116.06,2230.08,4,9,2,Two year,Fiber optic,Yes,No,No,Male,0,Yes,No,1
28,39.69,6575.45,1,1,1,Two year,Fiber optic,Yes,Yes,No,Male,0,No,Yes,1
28,115.14,7994.87,2,8,2,Two year,DSL,Yes,No,No,Female,1,Yes,No,0
44,119.48,1770.31,4,1,4,Two year,DSL,No,No,No,Female,0,Yes,No,0
30,91.17,2194.85,4,6,3,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,Yes,No,1
62,118.11,5336.59,4,7,3,Two year,DSL,Yes,Yes,Yes,Male,0,No,Yes,1
62,76.95,7727.04,3,5,2,Month-to-month,Fiber optic,No,No,Yes,Female,0,No,No,1
1,45.95,7334.93,1,6,3,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,No,No,1
27,63.7,4072.72,1,0,4,Two year,No,No,No,No,Female,0,Yes,No,0
62,79.36,6381.37,4,3,1,Month-to-month,No,Yes,No,Yes,Female,0,Yes,No,0
3,27.31,1172.39,4,6,0,Month-to-month,DSL,Yes,Yes,Yes,Female,0,No,No,0
70,82.23,7821.76,4,0,4,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,No,Yes,1
27,118.12,7718.39,2,0,4,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,Yes,Yes,1
9,39.01,1393.46,4,5,0,One year,DSL,Yes,No,Yes,Male,0,No,No,0
62,99.26,2465.44,3,3,0,Month-to-month,DSL,Yes,Yes,Yes,Male,0,Yes,No,1
37,110.79,891.22,1,2,1,Month-to-month,No,No,No,No,Male,1,Yes,Yes,0
51,114.37,2246.57,3,4,1,Month-to-month,DSL,No,Yes,Yes,Male,0,Yes,No,0
44,116.01,6546.05,4,8,1,Month-to-month,No,Yes,No,Yes,Male,0,Yes,No,0
24,72.15,3088.69,2,9,3,Month-to-month,No,No,No,Yes,Male,0,No,No,1
59,117.73,798.34,4,9,4,Two year,Fiber optic,Yes,Yes,Yes,Female,0,Yes,Yes,0
32,95.73,2803.58,4,9,0,Month-to-month,No,Yes,Yes,Yes,Male,0,Yes,No,1
52,36.17,7852.93,4,2,4,Two year,Fiber optic,Yes,No,No,Female,0,No,Yes,1
62,67.69,5074.5,4,4,4,Month-to-month,No,No,Yes,Yes,Female,0,Yes,No,0
58,91.83,3387.67,4,9,1,Month-to-month,No,Yes,Yes,No,Female,0,Yes,Yes,0
52,44.73,1415.65,1,4,1,Month-to-month,DSL,No,Yes,Yes,Male,1,Yes,No,0
12,84.06,7890.8,3,8,4,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,Yes,No,1
39,86.66,6584.71,2,9,1,Month-to-month,Fiber optic,No,Yes,No,Male,1,No,No,1
2,36.27,2323.67,4,3,3,Month-to-month,DSL,No,Yes,Yes,Female,1,No,Yes,1
3,76.51,653.54,2,0,0,Month-to-month,No,Yes,Yes,Yes,Male,0,No,No,1
56,97.16,547.34,1,9,4,Month-to-month,Fiber optic,No,No,Yes,Male,1,No,Yes,0
59,69.89,1050.99,3,4,0,One year,Fiber optic,Yes,Yes,Yes,Female,0,Yes,No,0
2,21.21,4688.07,4,0,3,Two year,DSL,Yes,No,Yes,Male,1,Yes,No,0
2,20.9,7437.23,1,5,1,Month-to-month,Fiber optic,Yes,Yes,No,Female,0,No,No,1
54,55.7,4024.27,1,9,2,One year,No,Yes,No,Yes,Female,0,Yes,Yes,0
1,112.62,6759.27,3,9,3,One year,Fiber optic,No,No,No,Female,0,No,No,0
19,42.87,3622.5,4,6,2,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,Yes,Yes,0
2,83.44,5697.81,3,0,0,Two year,Fiber optic,Yes,Yes,Yes,Female,0,No,No,1
53,42.21,5881.79,3,9,4,Two year,DSL,Yes,Yes,Yes,Female,1,No,No,0
44,52.17,1474.31,2,3,1,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,1,No,Yes,1
32,104.8,2953.61,2,8,3,One year,DSL,No,No,Yes,Female,0,No,Yes,0
70,92.89,5134.69,3,0,1,One year,DSL,No,No,Yes,Male,0,Yes,No,1
32,29.54,658.5,2,8,2,Month-to-month,DSL,Yes,Yes,No,Male,0,Yes,Yes,0
68,62.87,2956.17,1,7,2,Month-to-month,No,Yes,No,No,Female,0,Yes,No,1
55,22.92,4324.92,3,4,4,Two year,No,Yes,Yes,No,Male,0,No,No,0
56,68.09,7970.17,4,5,2,One year,DSL,No,No,Yes,Male,0,No,Yes,0
17,86.24,3848.82,4,6,4,Month-to-month,DSL,Yes,Yes,No,Male,0,Yes,No,1
38,31.85,6546.85,1,3,3,Month-to-month,DSL,No,No,Yes,Male,0,Yes,No,0
24,48.89,3513.33,4,5,4,Two year,No,No,Yes,No,Female,0,Yes,No,0
69,59.78,6391.49,4,6,2,Month-to-month,Fiber optic,No,No,Yes,Male,0,Yes,No,1
70,111.95,4803.78,3,5,0,One year,Fiber optic,Yes,Yes,Yes,Male,0,No,No,0
11,119.33,7104.1,1,5,4,Month-to-month,Fiber optic,No,Yes,No,Male,0,No,Yes,1
16,24.49,3346.45,3,1,1,Month-to-month,Fiber optic,No,No,Yes,Male,0,Yes,No,1
59,96.1,4874.0,1,4,0,Month-to-month,DSL,Yes,No,No,Female,0,Yes,Yes,0
70,57.17,5077.15,3,2,4,Month-to-month,DSL,Yes,No,Yes,Female,0,Yes,No,1
3,59.25,3397.33,3,6,1,Month-to-month,DSL,Yes,No,Yes,Male,0,No,Yes,0
20,95.43,1240.07,2,3,0,One year,Fiber optic,No,No,No,Female,0,Yes,No,0
59,111.84,839.12,4,0,4,One year,No,No,Yes,No,Male,0,No,No,0
36,115.09,231.71,1,5,3,Month-to-month,DSL,Yes,No,No,Female,0,No,No,1
19,77.71,7000.92,4,5,1,One year,DSL,No,No,Yes,Male,0,Yes,No,1
67,55.71,1968.15,2,6,3,Month-to-month,No,Yes,No,Yes,Male,0,Yes,No,0
19,98.75,1770.9,1,7,2,Month-to-month,DSL,Yes,No,Yes,Female,1,Yes,No,1
20,45.1,5914.68,2,2,4,Month-to-month,DSL,No,Yes,Yes,Female,0,No,No,0
71,76.41,2628.13,4,5,4,Month-to-month,No,No,Yes,No,Female,0,Yes,No,1
52,55.86,4097.75,3,9,1,Two year,Fiber optic,No,Yes,Yes,Female,1,Yes,Yes,0
33,85.66,1383.84,2,1,4,One year,Fiber optic,No,Yes,Yes,Female,0,No,No,0
40,44.04,7681.99,2,8,2,Month-to-month,Fiber optic,Yes,No,No,Male,0,No,No,0
39,39.16,6827.49,3,1,4,One year,Fiber optic,Yes,Yes,Yes,Male,0,No,No,1
1,111.82,6923.94,4,2,0,Month-to-month,DSL,No,Yes,No,Male,0,Yes,No,1
11,30.18,3313.51,2,9,3,Month-to-month,Fiber optic,No,No,No,Male,0,No,No,1
57,70.6,6122.65,4,1,2,Month-to-month,Fiber optic,No,No,Yes,Female,0,No,No,1
50,42.09,1236.62,3,8,2,One year,No,Yes,No,Yes,Female,0,No,Yes,1
23,23.89,168.09,1,0,3,Month-to-month,No,Yes,No,Yes,Male,0,No,Yes,1
31,23.6,257.79,2,4,3,Two year,Fiber optic,No,No,No,Male,0,No,Yes,0
42,37.52,4734.15,4,0,2,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,Yes,No,0
7,106.68,3697.62,3,4,3,Month-to-month,DSL,Yes,Yes,No,Female,0,No,No,0
16,48.25,4192.32,3,7,1,Two year,DSL,Yes,Yes,Yes,Female,0,No,No,0
60,115.05,158.96,2,7,3,Month-to-month,Fiber optic,Yes,No,No,Female,0,No,Yes,1
2,78.16,3439.22,1,7,0,Two year,Fiber optic,No,Yes,No,Female,0,Yes,Yes,1
1,63.66,5772.74,2,1,0,Two year,Fiber optic,No,No,No,Male,0,Yes,No,1
48,78.01,3597.28,4,7,1,Two year,Fiber optic,No,No,Yes,Male,0,No,No,0
12,71.67,5884.53,3,4,3,Month-to-month,No,No,Yes,Yes,Male,0,No,Yes,0
69,95.88,1940.85,1,0,0,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,No,No,1
37,48.25,6523.82,4,6,4,One year,Fiber optic,No,Yes,Yes,Female,0,No,Yes,0
32,55.31,4748.61,2,5,3,One year,DSL,No,Yes,Yes,Male,0,Yes,No,0
9,109.41,1765.03,3,4,1,One year,Fiber optic,No,Yes,No,Male,0,Yes,Yes,0
19,114.65,1970.09,2,0,3,Month-to-month,No,No,No,No,Male,0,Yes,No,1
48,109.26,5061.44,1,0,2,Month-to-month,DSL,No,Yes,Yes,Male,0,No,Yes,1
3,61.94,6656.52,1,5,2,Month-to-month,Fiber optic,Yes,Yes,No,Male,0,No,No,1
20,98.04,3383.46,1,9,0,Month-to-month,No,No,No,Yes,Female,0,Yes,Yes,0
24,67.63,2140.57,1,6,2,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,1,Yes,No,0
54,69.75,6949.39,1,9,1,Month-to-month,Fiber optic,Yes,Yes,No,Male,0,No,No,0
33,40.47,5387.22,2,9,0,Month-to-month,DSL,Yes,Yes,No,Female,0,Yes,No,0
24,79.11,3639.88,1,0,1,One year,Fiber optic,Yes,Yes,Yes,Female,0,Yes,No,1
36,38.61,3954.41,1,8,1,One year,Fiber optic,Yes,Yes,No,Female,0,Yes,No,0
38,53.16,1713.63,3,3,2,Month-to-month,DSL,Yes,No,No,Female,0,Yes,No,0
25,105.5,5051.74,1,4,2,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,Yes,No,0
18,40.71,2934.07,3,1,1,One year,DSL,Yes,Yes,Yes,Female,0,No,No,0
66,27.12,7965.6,3,9,2,Month-to-month,Fiber optic,No,No,No,Male,0,No,No,1
54,26.9,3893.45,3,7,2,Two year,No,Yes,Yes,No,Female,0,No,No,1
35,114.08,3938.5,2,1,2,One year,Fiber optic,Yes,No,Yes,Male,0,No,No,0
61,70.69,4570.23,2,2,3,Two year,Fiber optic,Yes,No,Yes,Female,0,Yes,No,0
41,60.94,7342.37,4,8,1,One year,Fiber optic,No,No,No,Female,0,No,No,0
33,101.09,6426.46,4,1,4,Month-to-month,DSL,Yes,Yes,No,Male,0,Yes,No,0
68,103.58,3663.93,3,5,1,One year,No,Yes,Yes,Yes,Male,1,Yes,No,0
33,53.22,5777.72,2,3,0,Month-to-month,DSL,No,Yes,Yes,Female,1,No,No,0
14,89.36,4731.26,1,6,2,Month-to-month,DSL,Yes,Yes,No,Male,0,No,Yes,1
21,97.11,3989.7,4,5,2,Month-to-month,Fiber optic,Yes,No,No,Male,0,No,No,1
48,85.47,1619.29,2,9,4,Month-to-month,Fiber optic,Yes,No,No,Male,0,No,No,1
20,35.16,3765.1,1,8,0,Month-to-month,Fiber optic,No,No,No,Male,1,Yes,Yes,1
8,107.59,2041.97,1,8,3,Month-to-month,DSL,Yes,Yes,No,Female,1,Yes,No,1
7,73.91,7327.25,2,9,1,One year,No,Yes,No,No,Male,0,Yes,No,1
67,48.25,2749.71,4,3,3,Two year,Fiber optic,No,Yes,No,Female,0,No,No,0
17,62.52,7622.89,2,0,0,Month-to-month,DSL,No,No,No,Male,0,No,No,0
33,23.76,4311.14,4,1,4,Month-to-month,Fiber optic,Yes,No,No,Female,0,Yes,No,0
48,32.79,5089.2,3,7,0,Month-to-month,DSL,Yes,No,No,Female,1,Yes,No,0
59,96.55,4389.23,2,9,4,Two year,Fiber optic,Yes,Yes,No,Female,0,No,Yes,1
22,20.0,1122.11,2,7,3,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,No,Yes,1
30,61.66,3068.99,4,1,3,Two year,Fiber optic,No,No,Yes,Male,0,Yes,No,1
38,72.25,883.25,4,3,0,Month-to-month,DSL,No,Yes,Yes,Male,0,Yes,No,0
51,25.46,5021.34,2,0,0,Two year,DSL,No,No,Yes,Female,0,Yes,Yes,0
54,117.31,3630.31,1,6,2,Month-to-month,DSL,Yes,No,Yes,Male,0,No,No,0
8,42.61,6246.08,1,3,4,Month-to-month,DSL,No,Yes,No,Male,0,Yes,Yes,0
27,50.42,1841.72,1,7,2,Month-to-month,DSL,No,Yes,Yes,Female,0,Yes,No,0
27,50.39,1400.07,3,8,1,Month-to-month,DSL,Yes,Yes,Yes,Male,1,No,Yes,1
21,43.04,3310.02,3,8,1,Two year,DSL,Yes,Yes,Yes,Male,1,Yes,No,0
30,20.15,7420.02,4,2,0,One year,Fiber optic,Yes,No,Yes,Male,0,Yes,Yes,1
28,92.93,5712.33,3,4,3,Month-to-month,Fiber optic,Yes,No,No,Male,0,Yes,Yes,0
64,116.68,3409.5,1,5,1,Two year,DSL,Yes,Yes,Yes,Female,0,No,Yes,1
69,42.43,4186.45,2,5,1,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,No,Yes,0
61,86.3,765.28,3,9,2,Two year,DSL,No,No,No,Male,0,Yes,Yes,0
48,94.19,7878.15,3,7,2,Month-to-month,Fiber optic,Yes,Yes,Yes,Female,0,No,No,1
19,104.84,5364.62,1,5,1,Two year,Fiber optic,Yes,No,No,Female,1,Yes,No,1
4,62.26,2354.69,3,5,0,Month-to-month,DSL,No,No,Yes,Female,0,Yes,No,1
35,50.29,4727.89,4,3,2,Month-to-month,DSL,No,No,Yes,Female,0,No,No,0
64,52.53,964.91,2,6,1,Month-to-month,DSL,No,Yes,Yes,Male,0,Yes,No,0
49,91.26,7730.11,1,7,3,Month-to-month,Fiber optic,No,No,Yes,Male,1,No,No,1
17,101.68,1480.8,4,2,2,One year,No,No,No,Yes,Male,0,No,No,0
44,38.16,5219.44,1,6,1,Month-to-month,DSL,Yes,No,Yes,Female,1,Yes,No,1
30,57.09,2039.09,4,2,4,Two year,Fiber optic,Yes,Yes,No,Male,0,Yes,No,0
46,110.19,5768.73,2,7,2,Two year,DSL,No,Yes,No,Male,0,No,No,0
6,100.67,6236.89,2,0,4,Two year,DSL,No,No,Yes,Male,0,No,No,0
37,118.49,5420.02,4,0,2,Two year,DSL,No,No,Yes,Female,0,Yes,No,0
24,95.42,4954.55,4,5,2,One year,No,No,Yes,No,Male,0,No,No,1
46,59.32,7150.51,4,9,4,Two year,Fiber optic,Yes,Yes,Yes,Female,0,Yes,Yes,0
53,79.06,721.15,4,8,0,Two year,No,No,Yes,Yes,Female,0,Yes,Yes,0
60,86.1,2714.23,4,3,1,Month-to-month,Fiber optic,No,Yes,Yes,Female,0,No,No,0
63,27.85,2061.47,4,5,0,One year,DSL,Yes,No,No,Female,0,Yes,Yes,0
32,74.45,7905.31,2,4,0,Two year,Fiber optic,Yes,Yes,Yes,Female,0,No,Yes,0
33,90.93,3176.18,4,0,1,One year,No,Yes,Yes,No,Male,0,Yes,Yes,0
67,36.73,5887.64,3,5,3,Month-to-month,No,No,Yes,Yes,Female,1,Yes,No,0
18,98.06,5509.33,2,8,0,Month-to-month,Fiber optic,No,Yes,Yes,Female,0,Yes,No,0
25,78.38,1775.44,1,2,0,Two year,DSL,Yes,No,Yes,Female,0,Yes,No,0
54,115.22,1988.08,2,2,0,Two year,DSL,No,No,Yes,Male,0,Yes,Yes,0
58,24.24,2322.15,1,1,3,Month-to-month,DSL,No,No,Yes,Male,0,Yes,Yes,1
