customer_id,tenure_months,monthly_charges,total_charges,num_products,support_calls,payment_delays,contract_type,internet_service,online_security,tech_support,paperless_billing,gender,senior_citizen,partner,dependents,churn
CUST0067,24,44.07,5285.64,3,4,0,One year,Fiber optic,Yes,Yes,Yes,Female,0,Yes,No,1
CUST0068,26,32.15,7772.09,3,7,0,One year,DSL,Yes,No,Yes,Female,0,Yes,No,1
CUST0069,60,39.75,4541.29,3,9,1,Month-to-month,DSL,Yes,Yes,No,Female,0,Yes,No,1
CUST0070,41,108.69,5746.55,1,4,2,Month-to-month,DSL,No,Yes,No,Female,1,No,Yes,0
CUST0071,29,84.58,640.76,2,1,0,One year,DSL,Yes,No,No,Male,0,No,No,1
CUST0072,15,48.59,3399.57,1,2,4,One year,Fiber optic,No,Yes,Yes,Male,0,Yes,No,1
CUST0073,45,101.59,1019.23,2,5,4,Month-to-month,Fiber optic,Yes,No,No,Male,1,Yes,No,0
CUST0074,65,106.14,4941.09,1,4,0,One year,Fiber optic,Yes,Yes,No,Female,0,Yes,No,0
CUST0075,71,104.65,7514.01,4,3,2,Month-to-month,Fiber optic,No,No,No,Female,0,No,No,0
CUST0076,9,111.89,5328.04,4,3,4,Month-to-month,DSL,Yes,Yes,Yes,Female,0,No,No,1
CUST0077,1,45.22,706.74,3,4,4,Month-to-month,DSL,Yes,Yes,Yes,Female,0,Yes,No,1
CUST0078,8,95.5,2901.86,4,1,2,Month-to-month,DSL,Yes,No,No,Male,0,Yes,No,1
CUST0079,63,66.05,4450.24,3,8,2,Two year,No,Yes,Yes,Yes,Female,0,Yes,Yes,0
CUST0080,11,104.2,3285.34,2,1,0,Two year,Fiber optic,Yes,No,No,Male,0,No,No,0
CUST0081,8,92.85,6685.79,4,9,3,Month-to-month,DSL,No,No,No,Female,0,Yes,No,1
CUST0082,35,97.64,6535.9,2,1,1,One year,DSL,Yes,No,Yes,Female,0,No,No,0
CUST0083,35,85.62,4933.47,1,9,3,One year,No,No,No,Yes,Male,0,No,No,0
CUST0084,33,37.74,3050.32,2,8,3,Month-to-month,Fiber optic,Yes,Yes,Yes,Female,0,No,No,1
CUST0085,5,74.5,2117.16,1,2,4,Month-to-month,Fiber optic,Yes,No,No,Male,0,Yes,No,1
CUST0086,41,118.47,936.41,2,9,2,Two year,Fiber optic,No,Yes,No,Male,1,No,Yes,0
CUST0087,28,113.74,2903.69,2,6,4,One year,DSL,Yes,Yes,Yes,Female,0,No,No,0
CUST0088,7,24.32,3364.06,4,3,1,Two year,No,Yes,No,Yes,Male,0,Yes,Yes,1
CUST0089,12,36.48,5439.0,2,5,0,Month-to-month,Fiber optic,No,No,Yes,Male,0,Yes,No,0
CUST0090,34,33.17,5299.46,4,3,1,One year,DSL,No,Yes,No,Female,0,Yes,Yes,0
CUST0091,33,92.6,653.85,4,9,4,Month-to-month,No,Yes,No,Yes,Male,0,No,No,0
CUST0092,48,101.78,3222.55,3,6,4,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,No,Yes,0
CUST0093,23,41.35,1536.05,3,0,4,Month-to-month,DSL,No,No,No,Female,0,Yes,No,0
CUST0094,62,70.59,1338.82,1,2,4,Month-to-month,Fiber optic,No,Yes,Yes,Male,1,No,No,1
CUST0095,37,104.07,6635.69,2,2,3,Month-to-month,DSL,No,Yes,Yes,Female,0,Yes,Yes,0
CUST0096,44,93.28,431.13,1,0,0,Month-to-month,DSL,Yes,No,Yes,Male,0,Yes,No,0
CUST0097,35,74.22,3411.54,2,5,3,Month-to-month,Fiber optic,Yes,Yes,Yes,Female,0,No,No,1
CUST0098,65,79.03,1428.81,3,8,4,One year,DSL,No,Yes,Yes,Female,0,No,No,0
CUST0099,47,70.84,7046.71,3,7,2,Month-to-month,No,Yes,No,No,Female,0,No,No,0
CUST0100,3,49.75,4500.62,2,6,3,Month-to-month,No,No,No,No,Female,0,No,No,1
CUST0101,1,76.5,1927.91,2,9,4,Month-to-month,DSL,Yes,No,No,Female,0,Yes,No,1
CUST0102,5,88.89,4069.18,3,7,4,Month-to-month,Fiber optic,Yes,No,No,Male,0,Yes,No,1
CUST0103,14,107.33,5878.74,3,5,0,One year,No,No,No,Yes,Female,0,No,No,0
CUST0104,27,83.63,7669.13,1,8,1,Month-to-month,Fiber optic,No,Yes,Yes,Female,0,No,No,0
CUST0105,9,96.11,1841.52,3,2,3,One year,Fiber optic,Yes,Yes,Yes,Male,1,No,No,0
CUST0106,15,36.01,7100.84,2,9,3,Month-to-month,DSL,Yes,No,No,Female,0,Yes,No,1
CUST0107,42,66.16,7481.0,1,9,3,Month-to-month,Fiber optic,Yes,Yes,No,Male,0,Yes,Yes,0
CUST0108,51,20.93,7339.72,2,8,4,Two year,Fiber optic,No,Yes,Yes,Male,0,No,No,0
CUST0109,63,44.67,5119.77,4,3,0,One year,No,Yes,Yes,Yes,Female,1,Yes,No,0
CUST0110,52,92.65,5075.58,1,6,4,Month-to-month,DSL,No,Yes,Yes,Male,0,Yes,No,1
CUST0111,4,119.18,3285.36,2,8,4,Two year,No,No,Yes,Yes,Male,0,Yes,Yes,1
CUST0112,23,29.92,6043.94,3,1,2,Month-to-month,DSL,No,No,No,Male,1,Yes,Yes,0
CUST0113,15,60.15,4297.22,4,1,0,Two year,No,Yes,No,Yes,Female,0,No,No,1
CUST0114,43,100.01,5451.76,2,8,3,One year,Fiber optic,No,Yes,No,Male,1,No,No,1
CUST0115,29,40.4,3484.82,1,2,1,One year,Fiber optic,Yes,Yes,Yes,Female,0,No,No,0
CUST0116,36,75.51,5878.82,2,8,3,Two year,Fiber optic,No,No,No,Female,0,No,No,1
CUST0117,13,93.31,6613.32,4,4,4,Month-to-month,DSL,Yes,No,No,Male,0,Yes,Yes,0
CUST0118,32,81.6,1256.85,1,5,0,One year,DSL,Yes,No,No,Female,0,No,No,1
CUST0119,71,38.8,6680.14,4,1,0,Month-to-month,DSL,No,No,Yes,Male,0,No,No,0
CUST0120,59,55.54,4368.34,2,7,0,Month-to-month,DSL,No,Yes,Yes,Male,0,No,No,1
CUST0121,28,98.38,6772.86,3,8,2,Month-to-month,DSL,Yes,No,Yes,Female,0,No,No,1
CUST0122,66,75.42,3507.28,3,1,3,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,No,Yes,0
CUST0123,42,20.52,3094.42,2,5,2,One year,Fiber optic,No,Yes,No,Female,0,Yes,Yes,0
CUST0124,45,96.1,7328.98,2,5,1,One year,DSL,No,No,No,Male,1,No,No,0
CUST0125,62,23.53,2084.24,2,7,4,One year,No,Yes,No,Yes,Male,1,Yes,No,0
CUST0126,57,94.57,6769.28,1,9,2,Month-to-month,Fiber optic,Yes,No,Yes,Male,1,Yes,No,1
CUST0127,6,40.25,3923.76,4,4,2,Month-to-month,No,No,No,Yes,Female,0,Yes,Yes,0
CUST0128,28,115.81,4161.35,4,8,4,Two year,Fiber optic,Yes,No,No,Male,0,Yes,Yes,1
CUST0129,28,56.79,2536.9,4,0,0,Month-to-month,DSL,No,Yes,No,Male,0,Yes,No,1
CUST0130,44,52.69,4627.03,2,8,4,One year,Fiber optic,No,Yes,Yes,Male,0,Yes,No,1
CUST0131,30,34.89,2669.17,4,9,3,One year,Fiber optic,No,Yes,Yes,Male,0,No,No,1
CUST0132,62,50.56,410.23,2,6,4,One year,DSL,No,Yes,No,Female,0,Yes,Yes,0
CUST0133,62,107.67,2248.79,1,3,0,Month-to-month,DSL,Yes,Yes,No,Male,1,No,No,1
CUST0134,1,119.63,150.39,3,2,4,Two year,DSL,No,No,Yes,Female,0,Yes,No,1
CUST0135,27,56.83,7829.0,2,9,2,Month-to-month,DSL,No,No,No,Male,1,Yes,No,1
CUST0136,62,64.86,7729.4,2,5,1,Two year,Fiber optic,Yes,No,No,Male,0,Yes,No,0
CUST0137,3,92.21,3221.73,3,0,2,Month-to-month,Fiber optic,Yes,No,Yes,Male,0,No,No,1
CUST0138,70,108.62,5854.13,3,2,1,Month-to-month,DSL,No,No,Yes,Female,0,Yes,No,1
CUST0139,27,79.3,2831.87,1,1,4,Month-to-month,Fiber optic,No,No,Yes,Female,0,Yes,Yes,0
CUST0140,9,59.15,5401.64,4,8,3,One year,Fiber optic,No,No,Yes,Female,1,No,No,0
CUST0141,62,61.26,6462.9,2,2,4,Month-to-month,DSL,No,No,Yes,Male,0,Yes,No,1
CUST0142,37,89.56,7579.37,4,1,0,Month-to-month,DSL,No,No,Yes,Male,0,Yes,No,0
CUST0143,51,20.32,3261.68,2,3,4,Month-to-month,DSL,No,No,Yes,Female,0,Yes,No,1
CUST0144,44,81.96,6288.05,1,1,1,Two year,Fiber optic,Yes,No,Yes,Male,0,No,No,0
CUST0145,24,55.55,2200.83,3,0,2,Two year,DSL,Yes,No,Yes,Male,0,Yes,No,0
CUST0146,59,99.42,7923.63,1,5,3,One year,Fiber optic,No,No,Yes,Female,0,Yes,No,0
CUST0147,32,29.3,303.58,3,9,4,One year,Fiber optic,Yes,Yes,No,Male,0,No,Yes,0
CUST0148,52,78.82,4867.88,4,7,4,Month-to-month,Fiber optic,Yes,No,No,Male,0,No,No,0
CUST0149,62,68.1,5310.1,4,9,2,Month-to-month,DSL,No,Yes,Yes,Male,0,Yes,No,1
CUST0150,58,84.23,5535.56,1,9,3,Two year,DSL,Yes,No,Yes,Female,0,Yes,Yes,0
CUST0151,52,26.49,1051.06,3,1,4,Month-to-month,Fiber optic,Yes,No,No,Male,0,Yes,No,1
CUST0152,12,78.0,7514.39,1,8,4,Month-to-month,No,No,No,Yes,Female,0,Yes,Yes,0
CUST0153,39,76.15,1531.35,3,2,1,Month-to-month,Fiber optic,No,Yes,No,Male,0,No,No,0
CUST0154,2,76.07,5019.75,3,7,1,Month-to-month,Fiber optic,No,Yes,Yes,Female,0,No,Yes,0
CUST0155,3,80.35,1859.14,4,7,0,Month-to-month,Fiber optic,Yes,No,No,Female,0,No,No,1
CUST0156,56,87.65,2527.01,4,2,2,Month-to-month,Fiber optic,No,No,Yes,Female,0,Yes,No,1
CUST0157,59,100.5,4417.02,3,2,3,Month-to-month,No,Yes,No,No,Female,1,No,No,1
CUST0158,2,46.98,3395.83,3,5,4,Month-to-month,DSL,No,No,No,Male,0,No,Yes,1
CUST0159,2,102.5,1365.78,3,0,4,Month-to-month,No,No,Yes,No,Female,0,Yes,Yes,1
CUST0160,54,69.83,1450.4,4,3,0,Month-to-month,Fiber optic,No,Yes,No,Male,0,Yes,No,0
CUST0161,1,27.71,3403.34,4,0,4,Month-to-month,Fiber optic,No,No,Yes,Male,0,Yes,No,0
CUST0162,19,25.86,6082.54,2,2,2,One year,DSL,Yes,Yes,Yes,Female,0,Yes,No,0
CUST0163,2,53.42,7193.92,3,8,0,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,Yes,Yes,0
CUST0164,53,98.49,764.61,2,4,2,One year,Fiber optic,No,No,Yes,Male,0,Yes,No,0
CUST0165,44,90.77,3205.52,3,4,0,One year,DSL,Yes,No,Yes,Male,0,No,Yes,0
CUST0166,32,98.86,891.94,4,3,4,One year,DSL,No,No,No,Male,0,Yes,No,1
CUST0167,70,71.73,231.08,2,2,0,Month-to-month,No,No,Yes,No,Female,0,Yes,No,0
CUST0168,32,64.02,5327.58,2,4,1,Month-to-month,Fiber optic,Yes,No,Yes,Male,1,No,No,0
CUST0169,68,34.75,4859.35,1,3,3,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,1,No,No,1
CUST0170,55,52.82,1387.85,3,7,4,One year,DSL,No,No,Yes,Male,1,No,No,0
CUST0171,56,63.4,1947.12,4,3,3,Month-to-month,Fiber optic,No,No,No,Male,0,No,No,0
CUST0172,17,28.86,287.29,1,7,4,Two year,Fiber optic,No,Yes,Yes,Male,0,No,No,1
CUST0173,38,42.06,6696.08,1,5,3,Two year,Fiber optic,Yes,Yes,No,Female,0,Yes,No,0
CUST0174,24,79.82,7800.06,3,4,1,Month-to-month,Fiber optic,No,Yes,No,Male,0,Yes,No,0
CUST0175,69,93.57,1170.13,1,3,3,Month-to-month,Fiber optic,No,Yes,No,Female,0,No,No,1
CUST0176,70,119.83,1928.65,3,3,0,One year,Fiber optic,No,Yes,Yes,Male,0,No,Yes,0
CUST0177,11,113.31,6960.44,1,3,3,Month-to-month,DSL,No,Yes,Yes,Female,1,No,Yes,1
CUST0178,16,84.26,7419.06,3,8,4,Month-to-month,No,No,No,No,Male,0,No,Yes,1
CUST0179,59,62.12,3415.06,4,3,2,Two year,Fiber optic,No,Yes,No,Male,0,Yes,Yes,1
CUST0180,70,83.62,499.92,3,8,3,Month-to-month,DSL,Yes,Yes,No,Female,0,No,Yes,0
CUST0181,3,98.57,411.2,3,9,3,Two year,Fiber optic,No,No,Yes,Female,1,No,No,1
CUST0182,20,31.83,4634.2,2,5,3,One year,No,No,Yes,No,Female,0,Yes,Yes,0
CUST0183,59,60.99,3203.87,4,9,4,One year,DSL,Yes,Yes,Yes,Male,0,Yes,No,0
CUST0184,36,103.98,326.35,4,6,3,Month-to-month,DSL,Yes,No,No,Female,0,Yes,No,1
CUST0185,19,58.38,4707.69,4,9,4,Month-to-month,Fiber optic,No,No,No,Female,0,No,Yes,0
CUST0186,67,77.19,189.29,1,2,4,Month-to-month,DSL,Yes,No,No,Female,0,No,Yes,0
CUST0187,19,78.78,6320.24,2,7,2,Month-to-month,Fiber optic,No,Yes,No,Male,0,Yes,Yes,1
CUST0188,20,38.45,2520.82,4,2,0,Month-to-month,DSL,Yes,No,Yes,Male,1,No,Yes,0
CUST0189,71,56.22,418.04,1,0,4,Month-to-month,Fiber optic,Yes,Yes,No,Male,0,No,No,0
CUST0190,52,53.45,4747.98,1,9,1,Month-to-month,DSL,No,No,No,Female,0,Yes,No,0
CUST0191,33,22.62,3241.71,1,4,3,Month-to-month,DSL,Yes,Yes,Yes,Male,0,Yes,Yes,0
CUST0192,40,22.42,7793.02,2,1,1,One year,No,No,No,No,Male,1,Yes,No,0
CUST0193,39,103.17,4399.17,1,9,3,Month-to-month,Fiber optic,Yes,No,Yes,Male,1,No,Yes,1
CUST0194,1,47.31,2274.39,2,5,2,Month-to-month,Fiber optic,No,No,No,Male,0,Yes,No,1
CUST0195,11,71.81,5704.57,3,9,4,One year,DSL,Yes,Yes,Yes,Female,1,No,No,0
CUST0196,57,49.87,2244.79,1,8,0,Two year,Fiber optic,No,Yes,No,Male,0,No,No,0
CUST0197,50,114.07,7243.52,4,0,4,Month-to-month,Fiber optic,No,No,Yes,Female,0,No,No,0
CUST0198,23,45.93,3060.3,1,3,3,Month-to-month,No,No,No,Yes,Female,0,Yes,Yes,0
CUST0199,31,62.97,4443.96,3,0,0,One year,No,No,No,Yes,Female,0,Yes,No,0
CUST0200,42,107.27,499.53,3,0,4,Two year,Fiber optic,Yes,No,Yes,Female,0,Yes,No,0
CUST0201,7,104.19,3466.36,1,7,0,One year,Fiber optic,No,Yes,No,Female,0,No,No,1
CUST0202,16,38.61,6675.67,3,1,3,One year,Fiber optic,Yes,No,Yes,Female,1,Yes,Yes,0
CUST0203,60,100.26,6464.63,2,0,2,Month-to-month,Fiber optic,Yes,No,No,Male,0,Yes,No,1
CUST0204,2,65.82,1872.12,2,7,2,Month-to-month,DSL,No,Yes,No,Female,0,No,No,0
CUST0205,1,68.3,1886.02,1,3,4,Month-to-month,DSL,No,Yes,No,Male,0,No,No,0
CUST0206,48,33.35,6556.71,2,2,1,One year,DSL,Yes,No,No,Female,0,Yes,Yes,0
CUST0207,12,28.06,7450.15,2,3,3,One year,DSL,Yes,No,Yes,Male,1,Yes,No,0
CUST0208,69,92.79,853.35,4,4,4,Two year,DSL,Yes,Yes,Yes,Female,0,No,Yes,0
CUST0209,37,69.65,3655.46,1,0,4,Month-to-month,Fiber optic,No,Yes,Yes,Male,1,No,No,0
CUST0210,32,63.69,2765.89,3,0,2,Month-to-month,Fiber optic,No,No,Yes,Male,0,No,No,0
CUST0211,9,92.95,6978.44,1,2,0,Month-to-month,Fiber optic,Yes,Yes,No,Female,0,Yes,No,1
CUST0212,19,96.55,759.85,2,5,3,One year,DSL,Yes,Yes,Yes,Female,0,Yes,No,0
CUST0213,48,35.89,1767.89,4,0,0,One year,DSL,Yes,No,No,Female,0,No,No,0
CUST0214,3,81.02,6044.5,1,1,3,Month-to-month,Fiber optic,No,No,Yes,Female,0,Yes,No,1
CUST0215,20,33.54,505.22,1,6,1,Month-to-month,DSL,Yes,Yes,No,Male,0,Yes,Yes,1
CUST0216,24,95.14,3991.03,2,0,2,Month-to-month,Fiber optic,Yes,No,Yes,Male,0,Yes,No,1
CUST0217,54,85.7,3592.65,2,6,1,Month-to-month,No,Yes,No,Yes,Female,0,No,No,1
CUST0218,33,115.66,2741.77,1,3,4,Two year,DSL,Yes,No,No,Female,0,Yes,Yes,1
CUST0219,24,26.9,3217.12,2,9,2,Month-to-month,DSL,No,No,Yes,Male,0,No,No,1
CUST0220,36,25.71,4286.53,2,5,4,One year,Fiber optic,Yes,No,No,Female,0,Yes,Yes,0
CUST0221,38,48.22,1374.8,2,7,1,One year,No,No,Yes,Yes,Male,0,No,No,0
CUST0222,25,46.17,4618.77,2,8,3,One year,Fiber optic,No,Yes,Yes,Female,0,No,No,0
CUST0223,18,44.7,6462.92,2,5,4,Month-to-month,No,Yes,No,No,Female,0,Yes,No,1
CUST0224,66,110.63,6105.27,4,8,0,Two year,DSL,No,No,Yes,Male,1,Yes,No,0
CUST0225,54,44.95,1315.81,2,3,3,Month-to-month,No,Yes,No,No,Male,1,No,Yes,0
CUST0226,35,47.19,1279.07,3,5,3,Month-to-month,DSL,Yes,Yes,Yes,Female,0,No,No,0
CUST0227,61,95.94,2218.58,1,7,1,Month-to-month,DSL,Yes,Yes,No,Male,0,Yes,Yes,1
CUST0228,41,64.97,2952.49,4,8,1,Month-to-month,No,Yes,Yes,Yes,Female,0,No,No,0
CUST0229,33,97.67,3326.8,4,2,2,Month-to-month,No,Yes,Yes,Yes,Male,0,No,No,1
CUST0230,68,26.54,5469.61,2,1,2,Month-to-month,DSL,No,No,Yes,Female,1,Yes,No,0
CUST0231,33,68.76,547.78,1,5,0,Two year,DSL,No,No,Yes,Female,1,Yes,Yes,0
CUST0232,14,23.36,373.91,3,3,3,Month-to-month,DSL,Yes,Yes,Yes,Female,1,Yes,No,0
CUST0233,21,26.27,3196.09,2,0,0,One year,DSL,No,Yes,No,Male,0,Yes,No,0
CUST0234,48,110.64,5607.59,1,7,0,Two year,DSL,Yes,No,No,Male,1,No,No,0
CUST0235,20,33.92,1628.14,2,8,1,Month-to-month,No,No,No,Yes,Male,0,Yes,Yes,0
CUST0236,8,73.24,5167.89,2,8,0,One year,Fiber optic,No,No,Yes,Male,0,Yes,No,0
CUST0237,7,61.11,2152.64,2,1,0,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,Yes,Yes,0
CUST0238,67,54.73,7100.08,2,8,4,Month-to-month,Fiber optic,No,No,Yes,Male,0,Yes,No,1
CUST0239,17,109.98,7175.95,2,6,2,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,No,No,0
CUST0240,33,22.18,2448.57,2,4,2,Two year,Fiber optic,No,No,Yes,Male,0,No,Yes,0
CUST0241,48,86.38,1916.95,2,6,3,Month-to-month,Fiber optic,Yes,Yes,No,Female,0,Yes,Yes,1
CUST0242,59,116.34,3349.3,3,8,2,One year,DSL,No,Yes,No,Male,1,Yes,No,0
CUST0243,22,76.02,2000.2,4,7,3,Month-to-month,Fiber optic,No,No,Yes,Male,0,Yes,No,1
CUST0244,30,113.68,5411.83,3,5,4,Two year,Fiber optic,No,Yes,Yes,Female,0,Yes,Yes,0
CUST0245,38,25.23,6625.91,2,3,2,Month-to-month,No,No,Yes,No,Female,0,No,No,1
CUST0246,51,61.88,5417.43,2,0,4,One year,No,No,No,Yes,Female,0,No,No,0
CUST0247,54,46.02,6612.37,3,5,2,One year,Fiber optic,No,Yes,No,Female,1,No,No,0
CUST0248,8,93.08,3236.24,3,2,2,One year,Fiber optic,No,No,No,Female,0,No,Yes,1
CUST0249,27,118.13,1334.9,4,5,4,Two year,DSL,No,No,Yes,Female,0,Yes,Yes,0
CUST0250,27,45.65,5929.81,3,5,0,Two year,Fiber optic,No,Yes,Yes,Female,1,No,No,0
