customer_id,name,segment,country,signup_year,lifetime_value
CUST0058,Customer 58,Consumer,India,2021,780.69
CUST0059,Customer 59,Corporate,Germany,2018,1631.32
CUST0060,Customer 60,Consumer,India,2022,450.36
CUST0061,Customer 61,Corporate,USA,2019,2999.56
CUST0062,Customer 62,Home Office,USA,2019,89.34
CUST0063,Customer 63,Corporate,Australia,2018,1843.09
CUST0064,Customer 64,Corporate,USA,2020,4325.15
CUST0065,Customer 65,Consumer,USA,2020,843.13
CUST0066,Customer 66,Consumer,USA,2018,49.53
CUST0067,Customer 67,Consumer,Australia,2021,820.21
CUST0068,Customer 68,Consumer,USA,2018,266.54
CUST0069,Customer 69,Consumer,USA,2020,343.13
CUST0070,Customer 70,Corporate,USA,2022,814.43
CUST0071,Customer 71,Consumer,USA,2023,1103.58
CUST0072,Customer 72,Consumer,UK,2020,639.95
CUST0073,Customer 73,Consumer,India,2022,802.59
CUST0074,Customer 74,Corporate,India,2023,1237.65
CUST0075,Customer 75,Consumer,USA,2019,1704.04
CUST0076,Customer 76,Consumer,USA,2020,2312.79
CUST0077,Customer 77,Home Office,UK,2021,2613.24
CUST0078,Customer 78,Corporate,Canada,2018,500.22
CUST0079,Customer 79,Home Office,India,2022,2470.64
CUST0080,Customer 80,Consumer,India,2022,295.45
CUST0081,Customer 81,Corporate,UK,2020,540.2
CUST0082,Customer 82,Consumer,UK,2021,854.79
CUST0083,Customer 83,Corporate,India,2019,456.61
CUST0084,Customer 84,Consumer,UK,2019,4750.12
CUST0085,Customer 85,Consumer,Germany,2020,2889.29
CUST0086,Customer 86,Consumer,USA,2018,1041.3
CUST0087,Customer 87,Consumer,Germany,2022,836.08
CUST0088,Customer 88,Consumer,USA,2023,912.66
CUST0089,Customer 89,Corporate,India,2022,103.73
CUST0090,Customer 90,Corporate,USA,2018,243.03
CUST0091,Customer 91,Consumer,India,2019,2254.45
CUST0092,Customer 92,Consumer,USA,2018,254.18
CUST0093,Customer 93,Consumer,USA,2020,658.68
CUST0094,Customer 94,Home Office,USA,2020,189.44
CUST0095,Customer 95,Consumer,USA,2018,3607.55
CUST0096,Customer 96,Consumer,USA,2018,89.76
CUST0097,Customer 97,Home Office,Germany,2021,25.78
CUST0098,Customer 98,Consumer,USA,2019,61.93
CUST0099,Customer 99,Consumer,India,2018,620.3
CUST0100,Customer 100,Consumer,UK,2019,23.85
CUST0101,Customer 101,Corporate,India,2022,54.42
CUST0102,Customer 102,Home Office,USA,2020,3458.48
CUST0103,Customer 103,Consumer,Australia,2018,76.74
CUST0104,Customer 104,Consumer,India,2019,1300.81
CUST0105,Customer 105,Corporate,USA,2018,1190.7
CUST0106,Customer 106,Corporate,India,2021,1423.06
CUST0107,Customer 107,Corporate,USA,2023,651.19
CUST0108,Customer 108,Consumer,Canada,2023,5140.78
CUST0109,Customer 109,Consumer,USA,2019,427.53
CUST0110,Customer 110,Corporate,Australia,2023,324.16
CUST0111,Customer 111,Consumer,Germany,2019,2249.28
CUST0112,Customer 112,Consumer,USA,2021,695.8
CUST0113,Customer 113,Corporate,USA,2020,1245.63
CUST0114,Customer 114,Consumer,India,2023,356.6
CUST0115,Customer 115,Consumer,India,2023,1496.76
CUST0116,Customer 116,Consumer,USA,2023,327.88
CUST0117,Customer 117,Consumer,Canada,2018,1104.38
CUST0118,Customer 118,Consumer,UK,2022,3100.26
CUST0119,Customer 119,Home Office,Canada,2019,779.38
CUST0120,Customer 120,Consumer,USA,2023,532.31
CUST0121,Customer 121,Consumer,Australia,2021,1192.18
CUST0122,Customer 122,Corporate,Canada,2021,542.83
CUST0123,Customer 123,Consumer,UK,2021,3226.23
CUST0124,Customer 124,Corporate,USA,2023,2194.67
CUST0125,Customer 125,Consumer,USA,2018,1210.51
CUST0126,Customer 126,Corporate,Australia,2022,393.77
CUST0127,Customer 127,Consumer,India,2023,572.97
CUST0128,Customer 128,Consumer,USA,2020,387.83
CUST0129,Customer 129,Corporate,USA,2019,332.38
CUST0130,Customer 130,Consumer,USA,2020,255.73
CUST0131,Customer 131,Consumer,India,2023,2943.66
CUST0132,Customer 132,Corporate,USA,2018,5050.75
CUST0133,Customer 133,Consumer,USA,2020,995.02
CUST0134,Customer 134,Consumer,USA,2018,969.45
CUST0135,Customer 135,Home Office,USA,2023,5618.57
CUST0136,Customer 136,Home Office,Australia,2018,5070.8
CUST0137,Customer 137,Corporate,Australia,2023,2529.69
CUST0138,Customer 138,Corporate,Australia,2021,1333.54
CUST0139,Customer 139,Consumer,India,2020,2596.29
CUST0140,Customer 140,Home Office,USA,2019,852.92
CUST0141,Customer 141,Corporate,India,2018,1383.9
CUST0142,Customer 142,Corporate,UK,2019,2343.07
CUST0143,Customer 143,Corporate,USA,2019,2588.65
CUST0144,Customer 144,Home Office,India,2023,131.49
CUST0145,Customer 145,Corporate,USA,2022,114.69
CUST0146,Customer 146,Corporate,India,2021,617.8
CUST0147,Customer 147,Consumer,Canada,2023,1541.2
CUST0148,Customer 148,Consumer,USA,2018,248.73
CUST0149,Customer 149,Corporate,USA,2022,238.82
CUST0150,Customer 150,Consumer,Canada,2020,2603.54
CUST0151,Customer 151,Consumer,USA,2022,1020.25
CUST0152,Customer 152,Consumer,USA,2021,419.19
CUST0153,Customer 153,Consumer,Canada,2020,61.94
CUST0154,Customer 154,Corporate,USA,2021,724.64
CUST0155,Customer 155,Consumer,USA,2020,663.25
CUST0156,Customer 156,Corporate,USA,2021,2354.73
CUST0157,Customer 157,Corporate,USA,2021,190.66
CUST0158,Customer 158,Corporate,UK,2021,539.63
CUST0159,Customer 159,Consumer,USA,2018,1184.11
CUST0160,Customer 160,Consumer,UK,2019,4107.99
CUST0161,Customer 161,Consumer,USA,2019,394.54
CUST0162,Customer 162,Consumer,USA,2020,1246.28
CUST0163,Customer 163,Consumer,USA,2019,683.97
CUST0164,Customer 164,Consumer,USA,2022,537.08
CUST0165,Customer 165,Corporate,USA,2022,710.97
CUST0166,Customer 166,Corporate,Australia,2019,2964.56
CUST0167,Customer 167,Consumer,Australia,2021,433.68
CUST0168,Customer 168,Consumer,Canada,2019,440.08
CUST0169,Customer 169,Corporate,UK,2021,2609.68
CUST0170,Customer 170,Corporate,India,2019,263.31
CUST0171,Customer 171,Corporate,USA,2023,4190.7
CUST0172,Customer 172,Corporate,Canada,2021,717.55
CUST0173,Customer 173,Corporate,Canada,2023,165.74
CUST0174,Customer 174,Corporate,India,2018,143.59
CUST0175,Customer 175,Corporate,USA,2018,2080.81
CUST0176,Customer 176,Consumer,Canada,2020,47.97
CUST0177,Customer 177,Corporate,India,2021,648.59
CUST0178,Customer 178,Consumer,Canada,2022,8.86
CUST0179,Customer 179,Consumer,USA,2018,359.0
CUST0180,Customer 180,Consumer,USA,2019,797.9
CUST0181,Customer 181,Consumer,USA,2021,709.48
CUST0182,Customer 182,Corporate,India,2021,1849.27
CUST0183,Customer 183,Consumer,India,2020,1248.83
CUST0184,Customer 184,Consumer,USA,2022,956.94
CUST0185,Customer 185,Corporate,Canada,2021,508.93
CUST0186,Customer 186,Corporate,Australia,2021,886.22
CUST0187,Customer 187,Consumer,Australia,2019,548.35
CUST0188,Customer 188,Consumer,Australia,2021,1650.2
CUST0189,Customer 189,Consumer,Germany,2023,1253.71
CUST0190,Customer 190,Consumer,India,2018,2834.15
CUST0191,Customer 191,Consumer,USA,2020,984.34
CUST0192,Customer 192,Corporate,Australia,2022,664.24
CUST0193,Customer 193,Consumer,Canada,2022,146.19
CUST0194,Customer 194,Consumer,UK,2022,1008.7
CUST0195,Customer 195,Corporate,Australia,2019,630.69
CUST0196,Customer 196,Consumer,UK,2020,1540.05
CUST0197,Customer 197,Corporate,USA,2023,372.5
CUST0198,Customer 198,Corporate,USA,2019,1802.52
CUST0199,Customer 199,Consumer,Germany,2023,119.46
CUST0200,Customer 200,Consumer,UK,2022,384.07
CUST0201,Customer 201,Corporate,USA,2019,162.32
CUST0202,Customer 202,Corporate,UK,2023,663.33
CUST0203,Customer 203,Consumer,UK,2022,216.07
CUST0204,Customer 204,Home Office,UK,2022,1268.39
CUST0205,Customer 205,Consumer,Australia,2023,64.84
CUST0206,Customer 206,Consumer,USA,2022,795.13
CUST0207,Customer 207,Corporate,UK,2020,13.66
CUST0208,Customer 208,Corporate,USA,2022,1643.04
CUST0209,Customer 209,Consumer,Australia,2020,89.27
CUST0210,Customer 210,Corporate,Germany,2019,800.87
CUST0211,Customer 211,Consumer,India,2022,272.57
CUST0212,Customer 212,Home Office,India,2020,166.35
CUST0213,Customer 213,Home Office,India,2022,411.51
CUST0214,Customer 214,Consumer,Canada,2023,654.72
CUST0215,Customer 215,Home Office,USA,2023,80.96
CUST0216,Customer 216,Consumer,USA,2018,392.59
CUST0217,Customer 217,Consumer,Germany,2022,1298.98
CUST0218,Customer 218,Consumer,USA,2020,182.89
CUST0219,Customer 219,Consumer,India,2023,1497.55
CUST0220,Customer 220,Consumer,India,2022,299.19
CUST0221,Customer 221,Consumer,USA,2023,1115.1
CUST0222,Customer 222,Home Office,USA,2023,487.62
CUST0223,Customer 223,Consumer,USA,2020,5015.02
CUST0224,Customer 224,Consumer,UK,2022,689.58
CUST0225,Customer 225,Corporate,Germany,2023,506.6
CUST0226,Customer 226,Consumer,India,2022,380.86
CUST0227,Customer 227,Consumer,USA,2019,522.06
CUST0228,Customer 228,Home Office,Germany,2021,56.99
CUST0229,Customer 229,Consumer,Germany,2020,110.91
CUST0230,Customer 230,Corporate,USA,2020,1056.75
CUST0231,Customer 231,Consumer,India,2018,686.01
CUST0232,Customer 232,Corporate,UK,2021,2420.01
CUST0233,Customer 233,Corporate,India,2022,1241.22
CUST0234,Customer 234,Corporate,Germany,2020,173.53
CUST0235,Customer 235,Corporate,UK,2018,1102.75
CUST0236,Customer 236,Consumer,India,2023,1297.0
CUST0237,Customer 237,Consumer,USA,2021,1132.95
CUST0238,Customer 238,Consumer,USA,2022,399.04
CUST0239,Customer 239,Consumer,Germany,2019,570.08
CUST0240,Customer 240,Home Office,Canada,2021,370.55
CUST0241,Customer 241,Consumer,Germany,2019,1925.57
CUST0242,Customer 242,Consumer,Germany,2021,54.08
CUST0243,Customer 243,Corporate,USA,2020,335.45
CUST0244,Customer 244,Consumer,Australia,2018,10.68
CUST0245,Customer 245,Consumer,USA,2019,488.37
CUST0246,Customer 246,Corporate,India,2018,194.48
CUST0247,Customer 247,Corporate,UK,2018,141.87
CUST0248,Customer 248,Consumer,USA,2021,1990.38
CUST0249,Customer 249,Home Office,Canada,2019,1025.19
CUST0250,Customer 250,Consumer,USA,2018,73.43
CUST0251,Customer 251,Corporate,India,2020,1840.32
CUST0252,Customer 252,Consumer,UK,2018,554.11
CUST0253,Customer 253,Corporate,Australia,2019,1439.92
CUST0254,Customer 254,Corporate,Germany,2020,5040.86
CUST0255,Customer 255,Corporate,Germany,2018,1897.28
CUST0256,Customer 256,Consumer,Canada,2018,30.87
CUST0257,Customer 257,Consumer,India,2021,13.08
CUST0258,Customer 258,Corporate,USA,2021,2.73
CUST0259,Customer 259,Home Office,USA,2023,414.54
CUST0260,Customer 260,Corporate,USA,2019,1805.88
CUST0261,Customer 261,Consumer,India,2018,1453.69
CUST0262,Customer 262,Consumer,Canada,2019,496.03
CUST0263,Customer 263,Consumer,India,2022,285.43
CUST0264,Customer 264,Home Office,Germany,2020,862.81
CUST0265,Customer 265,Corporate,Australia,2020,1505.5
CUST0266,Customer 266,Consumer,India,2019,35.72
CUST0267,Customer 267,Consumer,UK,2022,559.73
CUST0268,Customer 268,Home Office,India,2019,365.02
CUST0269,Customer 269,Home Office,India,2022,1760.2
CUST0270,Customer 270,Corporate,USA,2020,2085.88
CUST0271,Customer 271,Home Office,Canada,2018,1253.03
CUST0272,Customer 272,Corporate,India,2023,669.64
CUST0273,Customer 273,Home Office,UK,2018,210.05
CUST0274,Customer 274,Consumer,Germany,2022,1354.5
CUST0275,Customer 275,Consumer,USA,2022,2450.57
CUST0276,Customer 276,Consumer,Australia,2022,1279.87
CUST0277,Customer 277,Corporate,Germany,2019,765.3
CUST0278,Customer 278,Consumer,USA,2021,72.78
CUST0279,Customer 279,Corporate,Australia,2018,890.87
CUST0280,Customer 280,Consumer,Canada,2019,3318.82
CUST0281,Customer 281,Corporate,USA,2022,1741.63
CUST0282,Customer 282,Consumer,India,2020,1029.81
CUST0283,Customer 283,Home Office,Australia,2023,3118.73
CUST0284,Customer 284,Home Office,Germany,2023,634.79
CUST0285,Customer 285,Consumer,Germany,2018,951.47
CUST0286,Customer 286,Consumer,UK,2023,1011.72
CUST0287,Customer 287,Home Office,Australia,2020,910.77
CUST0288,Customer 288,Consumer,Australia,2018,3359.36
CUST0289,Customer 289,Consumer,USA,2019,6059.98
CUST0290,Customer 290,Consumer,UK,2020,1316.93
CUST0291,Customer 291,Consumer,USA,2018,984.41
CUST0292,Customer 292,Corporate,USA,2022,1837.86
CUST0293,Customer 293,Consumer,USA,2019,448.88
CUST0294,Customer 294,Corporate,India,2023,2439.67
CUST0295,Customer 295,Home Office,UK,2022,1301.78
CUST0296,Customer 296,Home Office,USA,2022,4523.29
CUST0297,Customer 297,Corporate,Australia,2022,78.02
CUST0298,Customer 298,Corporate,India,2020,257.99
CUST0299,Customer 299,Consumer,USA,2020,1447.84
CUST0300,Customer 300,Consumer,India,2018,3410.94
CUST0301,Customer 301,Corporate,Australia,2021,971.08
CUST0302,Customer 302,Consumer,India,2020,737.01
CUST0303,Customer 303,Corporate,UK,2020,269.71
CUST0304,Customer 304,Consumer,India,2022,6594.12
CUST0305,Customer 305,Corporate,Germany,2020,550.28
CUST0306,Customer 306,Consumer,Germany,2018,2998.1
CUST0307,Customer 307,Consumer,Australia,2020,1470.57
CUST0308,Customer 308,Consumer,Australia,2018,172.93
CUST0309,Customer 309,Corporate,Germany,2023,118.21
CUST0310,Customer 310,Corporate,USA,2021,1940.38
CUST0311,Customer 311,Consumer,UK,2022,809.59
CUST0312,Customer 312,Corporate,UK,2021,936.24
CUST0313,Customer 313,Corporate,USA,2021,1833.13
CUST0314,Customer 314,Consumer,Germany,2021,537.69
CUST0315,Customer 315,Home Office,USA,2023,3142.71
CUST0316,Customer 316,Home Office,USA,2021,427.87
CUST0317,Customer 317,Corporate,Australia,2018,2569.12
CUST0318,Customer 318,Consumer,Australia,2021,455.34
CUST0319,Customer 319,Consumer,UK,2021,1562.23
CUST0320,Customer 320,Consumer,Australia,2021,1893.58
CUST0321,Customer 321,Corporate,India,2022,3082.84
CUST0322,Customer 322,Consumer,Australia,2023,1167.15
CUST0323,Customer 323,Consumer,USA,2023,22.32
CUST0324,Customer 324,Corporate,Canada,2018,1610.86
CUST0325,Customer 325,Consumer,Germany,2018,68.18
CUST0326,Customer 326,Consumer,Canada,2023,1014.27
CUST0327,Customer 327,Consumer,USA,2022,1833.83
CUST0328,Customer 328,Home Office,UK,2018,6736.86
CUST0329,Customer 329,Consumer,UK,2023,20.99
CUST0330,Customer 330,Consumer,Canada,2023,370.09
CUST0331,Customer 331,Corporate,USA,2020,1205.85
CUST0332,Customer 332,Consumer,USA,2023,1273.6
CUST0333,Customer 333,Consumer,UK,2022,1327.7
CUST0334,Customer 334,Corporate,Australia,2018,243.63
CUST0335,Customer 335,Corporate,USA,2021,2576.61
CUST0336,Customer 336,Corporate,India,2023,868.64
CUST0337,Customer 337,Corporate,Australia,2021,183.51
CUST0338,Customer 338,Consumer,USA,2023,1582.38
CUST0339,Customer 339,Corporate,USA,2019,427.35
CUST0340,Customer 340,Home Office,USA,2019,4663.15
CUST0341,Customer 341,Consumer,USA,2019,2730.12
CUST0342,Customer 342,Corporate,USA,2021,2275.13
CUST0343,Customer 343,Consumer,UK,2018,4339.39
CUST0344,Customer 344,Home Office,Germany,2023,896.14
CUST0345,Customer 345,Consumer,USA,2021,1423.04
CUST0346,Customer 346,Corporate,Canada,2022,672.88
CUST0347,Customer 347,Consumer,USA,2022,979.67
CUST0348,Customer 348,Consumer,India,2022,842.55
CUST0349,Customer 349,Corporate,USA,2019,1244.16
CUST0350,Customer 350,Home Office,India,2018,129.69
CUST0351,Customer 351,Corporate,UK,2022,1967.31
CUST0352,Customer 352,Corporate,USA,2023,1096.9
CUST0353,Customer 353,Consumer,India,2021,10132.42
CUST0354,Customer 354,Home Office,USA,2022,794.14
CUST0355,Customer 355,Consumer,UK,2021,1008.29
CUST0356,Customer 356,Consumer,Australia,2020,63.22
CUST0357,Customer 357,Consumer,Australia,2023,1120.31
CUST0358,Customer 358,Home Office,UK,2021,837.05
CUST0359,Customer 359,Home Office,Canada,2018,2453.97
CUST0360,Customer 360,Corporate,India,2021,721.83
CUST0361,Customer 361,Consumer,USA,2019,566.35
CUST0362,Customer 362,Consumer,UK,2018,258.47
CUST0363,Customer 363,Corporate,Australia,2021,831.63
CUST0364,Customer 364,Corporate,Canada,2019,212.68
CUST0365,Customer 365,Consumer,Australia,2018,1420.44
CUST0366,Customer 366,Consumer,USA,2019,607.46
CUST0367,Customer 367,Corporate,USA,2020,213.36
CUST0368,Customer 368,Consumer,USA,2021,3268.12
CUST0369,Customer 369,Corporate,UK,2020,2877.74
CUST0370,Customer 370,Corporate,USA,2019,1829.15
CUST0371,Customer 371,Consumer,Australia,2018,1069.36
CUST0372,Customer 372,Corporate,UK,2020,456.94
CUST0373,Customer 373,Consumer,India,2023,936.73
CUST0374,Customer 374,Corporate,Australia,2023,2420.64
CUST0375,Customer 375,Consumer,UK,2022,706.22
CUST0376,Customer 376,Corporate,USA,2022,111.53
CUST0377,Customer 377,Corporate,USA,2023,42.65
CUST0378,Customer 378,Corporate,UK,2021,1283.41
CUST0379,Customer 379,Consumer,India,2023,4449.08
CUST0380,Customer 380,Corporate,USA,2023,134.31
CUST0381,Customer 381,Consumer,USA,2020,213.4
CUST0382,Customer 382,Consumer,India,2023,1397.66
CUST0383,Customer 383,Corporate,India,2023,941.08
CUST0384,Customer 384,Corporate,Australia,2021,3202.12
CUST0385,Customer 385,Corporate,India,2022,477.24
CUST0386,Customer 386,Consumer,Canada,2023,1031.62
CUST0387,Customer 387,Consumer,Germany,2023,357.56
CUST0388,Customer 388,Consumer,India,2018,1394.58
CUST0389,Customer 389,Corporate,India,2023,1966.24
CUST0390,Customer 390,Consumer,USA,2018,159.7
CUST0391,Customer 391,Consumer,UK,2023,1113.24
CUST0392,Customer 392,Consumer,UK,2023,248.6
CUST0393,Customer 393,Consumer,UK,2018,1407.01
CUST0394,Customer 394,Consumer,USA,2022,2685.63
CUST0395,Customer 395,Consumer,UK,2020,462.33
CUST0396,Customer 396,Home Office,India,2019,3280.87
CUST0397,Customer 397,Consumer,Australia,2019,1263.29
CUST0398,Customer 398,Corporate,USA,2020,153.41
CUST0399,Customer 399,Consumer,Canada,2020,190.26
CUST0400,Customer 400,Consumer,India,2018,2137.5
CUST0401,Customer 401,Consumer,UK,2019,1570.99
CUST0402,Customer 402,Corporate,USA,2020,569.84
CUST0403,Customer 403,Corporate,UK,2021,567.25
CUST0404,Customer 404,Corporate,UK,2022,906.99
CUST0405,Customer 405,Home Office,Canada,2020,1118.84
CUST0406,Customer 406,Corporate,USA,2020,3475.75
CUST0407,Customer 407,Consumer,USA,2018,678.24
CUST0408,Customer 408,Corporate,Germany,2023,1875.94
CUST0409,Customer 409,Corporate,USA,2023,1502.35
CUST0410,Customer 410,Corporate,USA,2023,2710.35
CUST0411,Customer 411,Home Office,India,2022,3561.64
CUST0412,Customer 412,Consumer,Canada,2020,102.18
CUST0413,Customer 413,Consumer,Canada,2018,2835.7
CUST0414,Customer 414,Corporate,Canada,2021,2993.2
CUST0415,Customer 415,Corporate,India,2022,330.38
CUST0416,Customer 416,Corporate,Canada,2020,299.25
CUST0417,Customer 417,Consumer,USA,2019,51.74
CUST0418,Customer 418,Corporate,India,2022,800.17
CUST0419,Customer 419,Corporate,USA,2020,1700.33
CUST0420,Customer 420,Consumer,Canada,2019,304.62
CUST0421,Customer 421,Consumer,Australia,2020,1484.52
CUST0422,Customer 422,Consumer,USA,2020,256.58
CUST0423,Customer 423,Consumer,USA,2018,783.18
CUST0424,Customer 424,Consumer,India,2018,163.72
CUST0425,Customer 425,Corporate,Australia,2022,401.47
CUST0426,Customer 426,Home Office,Canada,2023,130.69
CUST0427,Customer 427,Corporate,USA,2023,470.66
CUST0428,Customer 428,Consumer,UK,2020,1191.55
CUST0429,Customer 429,Corporate,UK,2021,1150.31
CUST0430,Customer 430,Corporate,UK,2021,327.04
CUST0431,Customer 431,Consumer,USA,2021,166.12
CUST0432,Customer 432,Home Office,India,2019,2972.24
CUST0433,Customer 433,Corporate,India,2020,818.46
CUST0434,Customer 434,Home Office,Germany,2019,960.34
CUST0435,Customer 435,Corporate,Australia,2021,1250.99
CUST0436,Customer 436,Home Office,India,2021,2235.86
CUST0437,Customer 437,Corporate,USA,2023,4263.07
CUST0438,Customer 438,Consumer,Canada,2023,151.03
CUST0439,Customer 439,Consumer,Australia,2018,55.07
CUST0440,Customer 440,Corporate,USA,2019,207.16
CUST0441,Customer 441,Consumer,Germany,2019,3629.54
CUST0442,Customer 442,Consumer,India,2020,667.66
CUST0443,Customer 443,Consumer,UK,2023,848.3
CUST0444,Customer 444,Corporate,UK,2020,30.82
CUST0445,Customer 445,Corporate,India,2020,18.89
CUST0446,Customer 446,Consumer,Germany,2022,963.86
CUST0447,Customer 447,Consumer,India,2021,1974.07
CUST0448,Customer 448,Corporate,USA,2023,3293.81
CUST0449,Customer 449,Consumer,India,2020,136.21
CUST0450,Customer 450,Corporate,UK,2020,101.78
CUST0451,Customer 451,Corporate,India,2020,112.73
CUST0452,Customer 452,Corporate,USA,2021,517.11
CUST0453,Customer 453,Consumer,USA,2021,913.61
CUST0454,Customer 454,Consumer,Canada,2019,1574.87
CUST0455,Customer 455,Corporate,USA,2023,46.74
CUST0456,Customer 456,Consumer,USA,2023,1156.21
CUST0457,Customer 457,Consumer,UK,2020,455.68
CUST0458,Customer 458,Home Office,UK,2023,652.01
CUST0459,Customer 459,Corporate,Australia,2018,357.84
CUST0460,Customer 460,Consumer,UK,2020,180.29
CUST0461,Customer 461,Consumer,USA,2023,554.95
CUST0462,Customer 462,Consumer,USA,2021,2509.58
CUST0463,Customer 463,Consumer,USA,2021,1358.67
CUST0464,Customer 464,Home Office,India,2020,1418.27
CUST0465,Customer 465,Home Office,USA,2023,119.66
CUST0466,Customer 466,Consumer,India,2023,617.63
CUST0467,Customer 467,Consumer,USA,2021,1261.36
CUST0468,Customer 468,Home Office,USA,2020,244.18
CUST0469,Customer 469,Consumer,USA,2022,321.97
CUST0470,Customer 470,Home Office,India,2018,161.04
CUST0471,Customer 471,Corporate,USA,2023,624.55
CUST0472,Customer 472,Home Office,India,2018,2884.0
CUST0473,Customer 473,Home Office,UK,2020,117.81
CUST0474,Customer 474,Consumer,Australia,2020,608.17
CUST0475,Customer 475,Corporate,USA,2022,5332.35
CUST0476,Customer 476,Home Office,UK,2018,571.08
CUST0477,Customer 477,Corporate,USA,2022,699.09
CUST0478,Customer 478,Corporate,USA,2020,175.64
CUST0479,Customer 479,Consumer,USA,2022,2626.78
CUST0480,Customer 480,Consumer,USA,2018,169.83
CUST0481,Customer 481,Consumer,India,2022,3292.43
CUST0482,Customer 482,Consumer,USA,2020,581.98
CUST0483,Customer 483,Consumer,USA,2022,507.04
CUST0484,Customer 484,Corporate,USA,2020,826.9
CUST0485,Customer 485,Home Office,USA,2020,127.81
CUST0486,Customer 486,Corporate,Canada,2023,607.41
CUST0487,Customer 487,Corporate,Germany,2020,2141.03
CUST0488,Customer 488,Consumer,Australia,2019,4764.45
CUST0489,Customer 489,Corporate,India,2018,1480.05
CUST0490,Customer 490,Corporate,USA,2020,1427.07
CUST0491,Customer 491,Consumer,USA,2018,651.91
CUST0492,Customer 492,Consumer,UK,2021,822.73
CUST0493,Customer 493,Consumer,USA,2020,1056.82
CUST0494,Customer 494,Corporate,USA,2019,2353.85
CUST0495,Customer 495,Consumer,USA,2021,1111.38
CUST0496,Customer 496,Consumer,UK,2021,201.57
CUST0497,Customer 497,Corporate,Germany,2019,609.39
CUST0498,Customer 498,Consumer,USA,2020,2659.91
CUST0499,Customer 499,Consumer,USA,2023,1534.41
